,Pos,Driver,Nationality,Car,PTS
0,1,Lewis  Hamilton  HAM,GBR,Mercedes,413
1,2,Valtteri  Bottas  BOT,FIN,Mercedes,326
2,3,Max  Verstappen  VER,NED,Red Bull Racing Honda,278
3,4,Charles  Leclerc  LEC,MON,Ferrari,264
4,5,Sebastian  Vettel  VET,GER,Ferrari,240
5,6,Carlos  Sainz  SAI,ESP,McLaren Renault,96
6,7,Pierre  Gasly  GAS,FRA,Scuderia Toro Rosso Honda,95
7,8,Alexander  Albon  ALB,THA,Red Bull Racing Honda,92
8,9,Daniel  Ricciardo  RIC,AUS,Renault,54
9,10,Sergio  Perez  PER,MEX,Racing Point BWT Mercedes,52
10,11,Lando  Norris  NOR,GBR,McLaren Renault,49
11,12,Kimi  Räikkönen  RAI,FIN,Alfa Romeo Racing Ferrari,43
12,13,Daniil  Kvyat  KVY,RUS,Scuderia Toro Rosso Honda,37
13,14,Nico  Hulkenberg  HUL,GER,Renault,37
14,15,Lance  Stroll  STR,CAN,Racing Point BWT Mercedes,21
15,16,Kevin  Magnussen  MAG,DEN,Haas Ferrari,20
16,17,Antonio  Giovinazzi  GIO,ITA,Alfa Romeo Racing Ferrari,14
17,18,Romain  Grosjean  GRO,FRA,Haas Ferrari,8
18,19,Robert  Kubica  KUB,POL,Williams Mercedes,1
19,20,George  Russell  RUS,GBR,Williams Mercedes,0
